Currency,Date,Open,High,Low,Close,Volume
CAD=X,1/17/2020,1.30414,1.30529,1.304015,1.305035,209062577
EUR=X,1/17/2020,1.115145,1.1154,1.114875,1.1149,133311973
GBP=X,1/17/2020,1.308625,1.308725,1.307925,1.308375,124972391
JPY=X,1/17/2020,110.06285,110.10535,110.03885,110.07235,108950755
AUD=X,1/17/2020,0.690065,0.69101,0.68901,0.68986,130424545
CHF=X,1/17/2020,0.963725,0.964045,0.96349,0.964,143714803
NZD=X,1/17/2020,0.664045,0.665245,0.663395,0.664545,180122598
CAD=X,1/19/2020,1.306155,1.307305,1.306155,1.306485,140213017
EUR=X,1/19/2020,1.10931,1.110875,1.10886,1.110845,308709706
GBP=X,1/19/2020,1.30057,1.30159,1.29994,1.301165,159434290
JPY=X,1/19/2020,110.124,110.204,110.0235,110.0735,147580328
AUD=X,1/19/2020,0.68721,0.688665,0.687105,0.688465,286257580
CHF=X,1/19/2020,0.96785,0.96838,0.96656,0.966935,245451070
NZD=X,1/19/2020,0.66178,0.66226,0.6609,0.66201,136856395
CAD=X,1/20/2020,1.306575,1.30724,1.304455,1.304575,343715257
EUR=X,1/20/2020,1.11082,1.111345,1.10818,1.111075,134671645
GBP=X,1/20/2020,1.301165,1.30174,1.297055,1.301215,104994478
JPY=X,1/20/2020,110.0735,110.1865,110.019,110.058,114603863
AUD=X,1/20/2020,0.688465,0.68868,0.685825,0.688035,163817338
CHF=X,1/20/2020,0.966935,0.968625,0.96627,0.96712,129408140
NZD=X,1/20/2020,0.662005,0.66231,0.65943,0.66111,243419450
CAD=X,1/21/2020,1.304575,1.308075,1.304505,1.307435,448512817
EUR=X,1/21/2020,1.111045,1.113255,1.10956,1.10986,261121173
GBP=X,1/21/2020,1.30119,1.30928,1.300305,1.30528,508548314
JPY=X,1/21/2020,110.058,110.1065,109.65,109.81006,333605279
AUD=X,1/21/2020,0.688035,0.688415,0.6845,0.685005,549689616
CHF=X,1/21/2020,0.967115,0.96772,0.96483,0.967625,181071088
NZD=X,1/21/2020,0.66111,0.66173,0.659025,0.65967,330753082
CAD=X,1/22/2020,1.307455,1.31178,1.305925,1.31126,563668276
EUR=X,1/22/2020,1.10989,1.11004,1.10699,1.10952,150307877
GBP=X,1/22/2020,1.30525,1.31525,1.304175,1.314315,1005498893
JPY=X,1/22/2020,109.80406,109.97956,109.7457,109.7837,119182881
AUD=X,1/22/2020,0.685005,0.68567,0.68295,0.684055,240991794
CHF=X,1/22/2020,0.967615,0.970055,0.96734,0.96738,137356286
NZD=X,1/22/2020,0.65967,0.66051,0.658345,0.659555,118428197
CAD=X,1/23/2020,1.311255,1.31273,1.309775,1.31059,181035323
EUR=X,1/23/2020,1.10955,1.11091,1.10361,1.105435,659505172
GBP=X,1/23/2020,1.31434,1.315095,1.30968,1.31183,350722804
JPY=X,1/23/2020,109.7837,109.7962,109.546,109.6957,182912255
AUD=X,1/23/2020,0.68406,0.68637,0.683755,0.685855,366400284
CHF=X,1/23/2020,0.96737,0.968835,0.966905,0.96847,274859210
NZD=X,1/23/2020,0.659545,0.66003,0.65891,0.65956,102403678
CAD=X,1/24/2020,1.31054,1.311785,1.31014,1.3115,216983323
EUR=X,1/24/2020,1.105465,1.106125,1.101985,1.102545,497024326
GBP=X,1/24/2020,1.31186,1.31725,1.30652,1.30731,554497514
JPY=X,1/24/2020,109.6957,109.7402,109.4985,109.556,231623205
AUD=X,1/24/2020,0.685805,0.685805,0.683235,0.683655,419086691
CHF=X,1/24/2020,0.968465,0.96956,0.96831,0.96906,194582937
NZD=X,1/24/2020,0.660545,0.66066,0.659725,0.660275,143266203
CAD=X,1/26/2020,1.315655,1.31633,1.31495,1.316245,171896001
EUR=X,1/26/2020,1.10326,1.10467,1.102255,1.103615,148268368
GBP=X,1/26/2020,1.308065,1.308325,1.306765,1.30684,222364715
JPY=X,1/26/2020,108.9545,109.0275,108.638,108.713,327537609
AUD=X,1/26/2020,0.68143,0.682135,0.68028,0.68031,266221904
CHF=X,1/26/2020,0.9703,0.970885,0.96792,0.96908,293934761
NZD=X,1/26/2020,0.65913,0.660085,0.65723,0.657255,400459742
CAD=X,1/27/2020,1.316265,1.319975,1.31489,1.318955,427797020
EUR=X,1/27/2020,1.103615,1.104995,1.10211,1.103025,180220669
GBP=X,1/27/2020,1.30684,1.31118,1.304825,1.306595,124472943
JPY=X,1/27/2020,108.71,109.039,108.6995,108.83256,215474159
AUD=X,1/27/2020,0.68031,0.681865,0.675385,0.676245,703296465
SGD=X,1/27/2020,1.356625,1.358235,1.35645,1.357585,269952084
CHF=X,1/27/2020,0.96908,0.97088,0.967125,0.96895,120665179
NZD=X,1/27/2020,0.657255,0.65921,0.654345,0.65457,530258350
SEK=X,1/27/2020,9.5966,9.63395,9.58944,9.622945,367234786
CAD=X,1/28/2020,1.318955,1.32061,1.315595,1.316475,402206918
EUR=X,1/28/2020,1.10303,1.10364,1.10092,1.103305,137390990
GBP=X,1/28/2020,1.306595,1.307225,1.298235,1.30298,461100772
JPY=X,1/28/2020,108.83256,109.138925,108.66706,109.06256,316702485
AUD=X,1/28/2020,0.67629,0.676805,0.673875,0.6765,131166607
SGD=X,1/28/2020,1.357585,1.35955,1.356865,1.357615,105311003
CHF=X,1/28/2020,0.968905,0.973105,0.966915,0.971995,591195418
NZD=X,1/28/2020,0.654625,0.65522,0.65224,0.65402,196948343
SEK=X,1/28/2020,9.622945,9.643545,9.606145,9.6079,252611401
CAD=X,1/29/2020,1.316505,1.32102,1.315895,1.31992,516143801
EUR=X,1/29/2020,1.10328,1.103855,1.100295,1.10233,229168873
GBP=X,1/29/2020,1.30295,1.30338,1.299605,1.302645,130466317
JPY=X,1/29/2020,109.06056,109.16185,108.87006,108.89806,253105017
AUD=X,1/29/2020,0.676525,0.677855,0.673735,0.675225,292936139
SGD=X,1/29/2020,1.35765,1.361965,1.35681,1.360635,628444761
CHF=X,1/29/2020,0.971995,0.975685,0.97167,0.97235,156431836
NZD=X,1/29/2020,0.654075,0.654395,0.65076,0.65274,313927336
SEK=X,1/29/2020,9.6079,9.62425,9.58915,9.61009,122214621
CAD=X,1/30/2020,1.31992,1.322645,1.3191,1.321215,257805629
EUR=X,1/30/2020,1.1023,1.104875,1.101665,1.10373,294433146
GBP=X,1/30/2020,1.30267,1.31149,1.298315,1.30892,724309771
JPY=X,1/30/2020,108.89806,108.96406,108.50785,108.80556,187152086
AUD=X,1/30/2020,0.67527,0.67547,0.670135,0.67081,761919369
SGD=X,1/30/2020,1.360815,1.36395,1.360815,1.362395,379712805
CHF=X,1/30/2020,0.972395,0.97245,0.967145,0.968595,704059090
NZD=X,1/30/2020,0.65274,0.653,0.648195,0.648495,780240855
SEK=X,1/30/2020,9.61009,9.643,9.609595,9.643,433827930
CAD=X,1/31/2020,1.321215,1.325315,1.31963,1.323515,380272545
EUR=X,1/31/2020,1.10376,1.11051,1.10264,1.11046,1010980474
GBP=X,1/31/2020,1.3089,1.321475,1.308845,1.32112,1320650465
JPY=X,1/31/2020,108.80556,109.04856,108.2475,108.28435,591076096
AUD=X,1/31/2020,0.67084,0.67296,0.66842,0.668735,412408133
SGD=X,1/31/2020,1.3625,1.366925,1.36105,1.364885,522224709
CHF=X,1/31/2020,0.968725,0.97047,0.962045,0.96237,1110209347
NZD=X,1/31/2020,0.64855,0.64957,0.645465,0.646555,419689165
SEK=X,1/31/2020,9.643,9.655295,9.6242,9.6341,190278595
CAD=X,2/2/2020,1.324105,1.32454,1.323775,1.32413,103046441
EUR=X,2/2/2020,1.10951,1.11002,1.108255,1.10984,144869188
GBP=X,2/2/2020,1.31817,1.318845,1.31764,1.318695,152442021
JPY=X,2/2/2020,108.442,108.442,108.2495,108.301,232848045
AUD=X,2/2/2020,0.66851,0.669715,0.668155,0.66933,221698180
SGD=X,2/2/2020,1.36475,1.36523,1.36445,1.36449,146028689
CHF=X,2/2/2020,0.963625,0.96453,0.962165,0.962545,271679952
NZD=X,2/2/2020,0.64733,0.647435,0.64573,0.64588,332355534
SEK=X,2/2/2020,9.627845,9.627845,9.62535,9.62535,125308438
CAD=X,2/3/2020,1.324135,1.33043,1.32325,1.32947,750110447
EUR=X,2/3/2020,1.109855,1.109875,1.10473,1.107115,472550224
GBP=X,2/3/2020,1.318615,1.318715,1.298665,1.300045,1954949193
JPY=X,2/3/2020,108.291,108.721,108.288,108.54206,336544895
AUD=X,2/3/2020,0.66938,0.670785,0.66852,0.66915,134134855
SGD=X,2/3/2020,1.36487,1.369795,1.36467,1.369775,968348929
CHF=X,2/3/2020,0.9625,0.96602,0.96215,0.96509,511713959
NZD=X,2/3/2020,0.64588,0.647675,0.645405,0.646145,142464977
SEK=X,2/3/2020,9.6243,9.66494,9.616295,9.645345,313473375
CAD=X,2/4/2020,1.329445,1.3302,1.32646,1.328235,247447730
EUR=X,2/4/2020,1.107085,1.107315,1.104175,1.105285,344741023
GBP=X,2/4/2020,1.30002,1.305335,1.29492,1.3034,437626724
JPY=X,2/4/2020,108.54406,109.469,108.47856,109.379325,886973918
AUD=X,2/4/2020,0.669175,0.674345,0.66797,0.673225,701070279
SGD=X,2/4/2020,1.3698,1.3729,1.3698,1.371575,414234322
CHF=X,2/4/2020,0.96509,0.969615,0.964965,0.96859,656370215
NZD=X,2/4/2020,0.646225,0.650295,0.645095,0.649345,599965010
SEK=X,2/4/2020,9.645345,9.6467,9.5869,9.5869,692846349
CAD=X,2/5/2020,1.328325,1.330215,1.326325,1.328505,121934373
EUR=X,2/5/2020,1.105285,1.105355,1.099725,1.100725,720010591
GBP=X,2/5/2020,1.30343,1.304865,1.29569,1.2998,462599115
JPY=X,2/5/2020,109.377325,109.779595,109.297325,109.758825,459443470
AUD=X,2/5/2020,0.67326,0.67746,0.672475,0.675255,396082767
SGD=X,2/5/2020,1.371565,1.38496,1.37065,1.380815,1737559143
CHF=X,2/5/2020,0.968595,0.973505,0.967825,0.972805,769233887
NZD=X,2/5/2020,0.649395,0.650305,0.647045,0.64812,304312624
SEK=X,2/5/2020,9.5869,9.595695,9.5511,9.587495,106035479
CAD=X,2/6/2020,1.32862,1.330975,1.327105,1.32875,115841492
EUR=X,2/6/2020,1.1007,1.102125,1.097155,1.098585,387570702
GBP=X,2/6/2020,1.29977,1.30007,1.29242,1.29318,758272223
JPY=X,2/6/2020,109.758825,109.962675,109.721675,109.915325,247451908
AUD=X,2/6/2020,0.675175,0.67656,0.67277,0.67326,384209774
SGD=X,2/6/2020,1.380715,1.38675,1.380715,1.38625,1079879984
CHF=X,2/6/2020,0.97282,0.975005,0.97258,0.97406,297114019
NZD=X,2/6/2020,0.64815,0.64855,0.64553,0.646015,442123492
SEK=X,2/6/2020,9.587495,9.6303,9.587495,9.621795,447927620
CAD=X,2/7/2020,1.328705,1.33199,1.328625,1.329825,236480544
EUR=X,2/7/2020,1.098615,1.099055,1.094175,1.094395,673781731
GBP=X,2/7/2020,1.29315,1.295725,1.289135,1.289455,469091937
JPY=X,2/7/2020,109.915325,109.9928,109.5428,109.811595,197732821
AUD=X,2/7/2020,0.673175,0.67326,0.666175,0.667545,935561894
SGD=X,2/7/2020,1.38625,1.39155,1.38525,1.389435,663851445
CHF=X,2/7/2020,0.97406,0.97569,0.97339,0.975345,304267350
NZD=X,2/7/2020,0.645955,0.646015,0.640065,0.64033,1001379225
SEK=X,2/7/2020,9.621795,9.634045,9.60705,9.632495,208537188
CAD=X,2/9/2020,1.33123,1.33123,1.330875,1.33114,110967187
EUR=X,2/9/2020,1.09587,1.09587,1.09485,1.095435,159145747
GBP=X,2/9/2020,1.28912,1.289675,1.28907,1.28957,144950304
JPY=X,2/9/2020,109.659,109.6875,109.4865,109.545,207409058
AUD=X,2/9/2020,0.667665,0.66801,0.66676,0.66726,160107028
SGD=X,2/9/2020,1.39035,1.39172,1.39013,1.39146,296507097
CHF=X,2/9/2020,0.976495,0.97687,0.975435,0.975695,227170335
NZD=X,2/9/2020,0.6406,0.640745,0.63983,0.639845,220985123
SEK=X,2/9/2020,9.66045,9.66105,9.66045,9.6609,104564648
CAD=X,2/10/2020,1.331185,1.332975,1.32897,1.331835,179207458
EUR=X,2/10/2020,1.09545,1.096445,1.091325,1.0915,637070578
GBP=X,2/10/2020,1.28957,1.29496,1.28781,1.29182,324751518
JPY=X,2/10/2020,109.545,109.795,109.523,109.723325,268015090
AUD=X,2/10/2020,0.66716,0.67086,0.66696,0.668985,370852657
SGD=X,2/10/2020,1.39157,1.39223,1.38795,1.38895,563827563
CHF=X,2/10/2020,0.9757,0.977675,0.97538,0.976895,289960688
NZD=X,2/10/2020,0.639795,0.64165,0.638205,0.63871,273866037
SEK=X,2/10/2020,9.6609,9.670295,9.6345,9.65955,113693944
CAD=X,2/11/2020,1.331805,1.332025,1.32775,1.32911,428406308
EUR=X,2/11/2020,1.091555,1.093215,1.089705,1.092275,197896409
GBP=X,2/11/2020,1.291845,1.29708,1.289735,1.295895,504552732
JPY=X,2/11/2020,109.724325,109.9548,109.674095,109.784325,156531083
AUD=X,2/11/2020,0.668985,0.673765,0.66821,0.671895,531880126
SGD=X,2/11/2020,1.38895,1.389665,1.388245,1.388395,198253549
CHF=X,2/11/2020,0.976945,0.9783,0.974585,0.97526,367852518
NZD=X,2/11/2020,0.63871,0.642165,0.63788,0.640455,379627866
SEK=X,2/11/2020,9.65955,9.66465,9.6416,9.6416,282078740
CAD=X,2/12/2020,1.329105,1.329655,1.323645,1.32578,505176614
EUR=X,2/12/2020,1.09233,1.09262,1.086995,1.087785,717971083
GBP=X,2/12/2020,1.29592,1.29824,1.295425,1.29597,104994478
JPY=X,2/12/2020,109.790325,110.0615,109.750325,109.830325,137687389
AUD=X,2/12/2020,0.67189,0.67506,0.670415,0.671435,167527649
SGD=X,2/12/2020,1.388395,1.38955,1.385015,1.388395,100000000
CHF=X,2/12/2020,0.975305,0.978325,0.97451,0.97735,425079168
NZD=X,2/12/2020,0.640505,0.647765,0.63949,0.64477,783445759
SEK=X,2/12/2020,9.6416,9.644095,9.63115,9.636445,152290580
CAD=X,2/13/2020,1.32576,1.32716,1.324115,1.326765,222466916
EUR=X,2/13/2020,1.087845,1.08935,1.083725,1.08429,583363520
GBP=X,2/13/2020,1.29597,1.307125,1.294635,1.30432,934077855
JPY=X,2/13/2020,109.832325,109.947825,109.581675,109.796095,134135352
AUD=X,2/13/2020,0.671475,0.67456,0.67111,0.671865,157880842
SGD=X,2/13/2020,1.388535,1.38995,1.38685,1.38975,315095606
CHF=X,2/13/2020,0.977295,0.979175,0.97579,0.979175,398850287
NZD=X,2/13/2020,0.64462,0.64673,0.643735,0.643905,214575315
